doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.311,3.698
job1,job3,0.379,4.515
job1,job4,0.35,4.162
job1,job5,0.425,5.057
job1,job6,0.42,5.006
job1,job7,0.357,4.248
job1,job8,0.392,4.662
job2,job1,0.321,3.698
job2,job2,0.0,0.0
job2,job3,0.368,4.237
job2,job4,0.352,4.049
job2,job5,0.427,4.914
job2,job6,0.424,4.879
job2,job7,0.348,4.005
job2,job8,0.392,4.511
job3,job1,0.366,4.515
job3,job2,0.343,4.237
job3,job3,0.0,0.0
job3,job4,0.354,4.367
job3,job5,0.419,5.179
job3,job6,0.416,5.133
job3,job7,0.354,4.377
job3,job8,0.387,4.779
job4,job1,0.388,4.162
job4,job2,0.377,4.049
job4,job3,0.407,4.367
job4,job4,0.0,0.0
job4,job5,0.364,3.905
job4,job6,0.372,3.993
job4,job7,0.344,3.693
job4,job8,0.389,4.177
job5,job1,0.395,5.057
job5,job2,0.384,4.914
job5,job3,0.404,5.179
job5,job4,0.305,3.905
job5,job5,0.0,0.0
job5,job6,0.396,5.069
job5,job7,0.361,4.625
job5,job8,0.392,5.02
job6,job1,0.393,5.006
job6,job2,0.383,4.879
job6,job3,0.403,5.133
job6,job4,0.314,3.993
job6,job5,0.398,5.069
job6,job6,0.0,0.0
job6,job7,0.358,4.563
job6,job8,0.389,4.95
job7,job1,0.395,4.248
job7,job2,0.373,4.005
job7,job3,0.407,4.377
job7,job4,0.344,3.693
job7,job5,0.431,4.625
job7,job6,0.425,4.563
job7,job7,0.0,0.0
job7,job8,0.234,2.512
job8,job1,0.396,4.662
job8,job2,0.383,4.511
job8,job3,0.406,4.779
job8,job4,0.355,4.177
job8,job5,0.427,5.02
job8,job6,0.421,4.95
job8,job7,0.214,2.512
job8,job8,0.0,0.0
