doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.697
job1,job3,0.509
job1,job4,0.067
job1,job5,0.031
job1,job6,0.092
job1,job7,0.065
job1,job8,0.091
job2,job1,0.697
job2,job2,1.0
job2,job3,0.572
job2,job4,0.034
job2,job5,0.031
job2,job6,0.062
job2,job7,0.129
job2,job8,0.091
job3,job1,0.509
job3,job2,0.572
job3,job3,1.0
job3,job4,0.035
job3,job5,0.033
job3,job6,0.097
job3,job7,0.102
job3,job8,0.127
job4,job1,0.067
job4,job2,0.034
job4,job3,0.035
job4,job4,1.0
job4,job5,0.622
job4,job6,0.544
job4,job7,0.036
job4,job8,0.034
job5,job1,0.031
job5,job2,0.031
job5,job3,0.033
job5,job4,0.622
job5,job5,1.0
job5,job6,0.381
job5,job7,0.033
job5,job8,0.031
job6,job1,0.092
job6,job2,0.062
job6,job3,0.097
job6,job4,0.544
job6,job5,0.381
job6,job6,1.0
job6,job7,0.098
job6,job8,0.123
job7,job1,0.065
job7,job2,0.129
job7,job3,0.102
job7,job4,0.036
job7,job5,0.033
job7,job6,0.098
job7,job7,1.0
job7,job8,0.873
job8,job1,0.091
job8,job2,0.091
job8,job3,0.127
job8,job4,0.034
job8,job5,0.031
job8,job6,0.123
job8,job7,0.873
job8,job8,1.0
