doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.316,3.913
job1,job3,0.379,4.69
job1,job4,0.348,4.311
job1,job5,0.416,5.156
job1,job6,0.433,5.364
job1,job7,0.354,4.379
job1,job8,0.386,4.781
job2,job1,0.326,3.913
job2,job2,0.0,0.0
job2,job3,0.371,4.451
job2,job4,0.346,4.156
job2,job5,0.419,5.027
job2,job6,0.437,5.252
job2,job7,0.347,4.166
job2,job8,0.388,4.655
job3,job1,0.365,4.69
job3,job2,0.346,4.451
job3,job3,0.0,0.0
job3,job4,0.349,4.482
job3,job5,0.412,5.3
job3,job6,0.428,5.502
job3,job7,0.354,4.547
job3,job8,0.384,4.935
job4,job1,0.385,4.311
job4,job2,0.371,4.156
job4,job3,0.4,4.482
job4,job4,0.0,0.0
job4,job5,0.363,4.062
job4,job6,0.402,4.507
job4,job7,0.339,3.797
job4,job8,0.381,4.269
job5,job1,0.389,5.156
job5,job2,0.38,5.027
job5,job3,0.4,5.3
job5,job4,0.307,4.062
job5,job5,0.0,0.0
job5,job6,0.416,5.506
job5,job7,0.357,4.734
job5,job8,0.387,5.121
job6,job1,0.389,5.364
job6,job2,0.381,5.252
job6,job3,0.399,5.502
job6,job4,0.327,4.507
job6,job5,0.399,5.506
job6,job6,0.0,0.0
job6,job7,0.36,4.973
job6,job8,0.386,5.331
job7,job1,0.388,4.379
job7,job2,0.37,4.166
job7,job3,0.403,4.547
job7,job4,0.337,3.797
job7,job5,0.42,4.734
job7,job6,0.441,4.973
job7,job7,0.0,0.0
job7,job8,0.256,2.883
job8,job1,0.39,4.781
job8,job2,0.38,4.655
job8,job3,0.403,4.935
job8,job4,0.348,4.269
job8,job5,0.418,5.121
job8,job6,0.435,5.331
job8,job7,0.235,2.883
job8,job8,0.0,0.0
