doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.25,0.85
job1,job3,0.325,1.106
job1,job4,0.406,1.382
job1,job5,0.414,1.407
job1,job6,0.406,1.381
job1,job7,0.408,1.386
job1,job8,0.405,1.377
job2,job1,0.251,0.85
job2,job2,0.0,0.0
job2,job3,0.309,1.049
job2,job4,0.414,1.406
job2,job5,0.415,1.408
job2,job6,0.413,1.401
job2,job7,0.4,1.358
job2,job8,0.409,1.386
job3,job1,0.32,1.106
job3,job2,0.304,1.049
job3,job3,0.0,0.0
job3,job4,0.407,1.405
job3,job5,0.407,1.406
job3,job6,0.402,1.386
job3,job7,0.396,1.367
job3,job8,0.394,1.359
job4,job1,0.402,1.382
job4,job2,0.409,1.406
job4,job3,0.408,1.405
job4,job4,0.0,0.0
job4,job5,0.301,1.035
job4,job6,0.288,0.992
job4,job7,0.407,1.4
job4,job8,0.408,1.403
job5,job1,0.399,1.407
job5,job2,0.399,1.408
job5,job3,0.398,1.406
job5,job4,0.293,1.035
job5,job5,0.0,0.0
job5,job6,0.348,1.229
job5,job7,0.397,1.402
job5,job8,0.398,1.404
job6,job1,0.398,1.381
job6,job2,0.403,1.401
job6,job3,0.399,1.386
job6,job4,0.286,0.992
job6,job5,0.354,1.229
job6,job6,0.0,0.0
job6,job7,0.397,1.377
job6,job8,0.394,1.369
job7,job1,0.404,1.386
job7,job2,0.396,1.358
job7,job3,0.398,1.367
job7,job4,0.408,1.4
job7,job5,0.408,1.402
job7,job6,0.401,1.377
job7,job7,0.0,0.0
job7,job8,0.168,0.578
job8,job1,0.401,1.377
job8,job2,0.403,1.386
job8,job3,0.395,1.359
job8,job4,0.408,1.403
job8,job5,0.409,1.404
job8,job6,0.398,1.369
job8,job7,0.168,0.578
job8,job8,0.0,0.0
