doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.717
job1,job3,0.581
job1,job4,0.146
job1,job5,0.123
job1,job6,0.116
job1,job7,0.253
job1,job8,0.253
job2,job1,0.717
job2,job2,1.0
job2,job3,0.612
job2,job4,0.049
job2,job5,0.068
job2,job6,0.055
job2,job7,0.278
job2,job8,0.233
job3,job1,0.581
job3,job2,0.612
job3,job3,1.0
job3,job4,0.04
job3,job5,0.065
job3,job6,0.064
job3,job7,0.245
job3,job8,0.246
job4,job1,0.146
job4,job2,0.049
job4,job3,0.04
job4,job4,1.0
job4,job5,0.539
job4,job6,0.68
job4,job7,0.069
job4,job8,0.107
job5,job1,0.123
job5,job2,0.068
job5,job3,0.065
job5,job4,0.539
job5,job5,1.0
job5,job6,0.423
job5,job7,0.055
job5,job8,0.051
job6,job1,0.116
job6,job2,0.055
job6,job3,0.064
job6,job4,0.68
job6,job5,0.423
job6,job6,1.0
job6,job7,0.164
job6,job8,0.209
job7,job1,0.253
job7,job2,0.278
job7,job3,0.245
job7,job4,0.069
job7,job5,0.055
job7,job6,0.164
job7,job7,1.0
job7,job8,0.906
job8,job1,0.253
job8,job2,0.233
job8,job3,0.246
job8,job4,0.107
job8,job5,0.051
job8,job6,0.209
job8,job7,0.906
job8,job8,1.0
