doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.744
job1,job3,0.58
job1,job4,0.403
job1,job5,0.341
job1,job6,0.29
job1,job7,0.236
job1,job8,0.225
job2,job1,0.744
job2,job2,1.0
job2,job3,0.78
job2,job4,0.542
job2,job5,0.459
job2,job6,0.39
job2,job7,0.317
job2,job8,0.302
job3,job1,0.58
job3,job2,0.78
job3,job3,1.0
job3,job4,0.694
job3,job5,0.588
job3,job6,0.5
job3,job7,0.407
job3,job8,0.388
job4,job1,0.403
job4,job2,0.542
job4,job3,0.694
job4,job4,1.0
job4,job5,0.847
job4,job6,0.72
job4,job7,0.585
job4,job8,0.558
job5,job1,0.341
job5,job2,0.459
job5,job3,0.588
job5,job4,0.847
job5,job5,1.0
job5,job6,0.85
job5,job7,0.691
job5,job8,0.659
job6,job1,0.29
job6,job2,0.39
job6,job3,0.5
job6,job4,0.72
job6,job5,0.85
job6,job6,1.0
job6,job7,0.813
job6,job8,0.775
job7,job1,0.236
job7,job2,0.317
job7,job3,0.407
job7,job4,0.585
job7,job5,0.691
job7,job6,0.813
job7,job7,1.0
job7,job8,0.953
job8,job1,0.225
job8,job2,0.302
job8,job3,0.388
job8,job4,0.558
job8,job5,0.659
job8,job6,0.775
job8,job7,0.953
job8,job8,1.0
