doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.391
job1,job3,0.23
job1,job4,0.095
job1,job5,0.023
job1,job6,0.022
job1,job7,0.098
job1,job8,0.083
job2,job1,0.391
job2,job2,1.0
job2,job3,0.235
job2,job4,0.008
job2,job5,0.029
job2,job6,0.009
job2,job7,0.131
job2,job8,0.062
job3,job1,0.23
job3,job2,0.235
job3,job3,1.0
job3,job4,0.007
job3,job5,0.029
job3,job6,0.016
job3,job7,0.082
job3,job8,0.071
job4,job1,0.095
job4,job2,0.008
job4,job3,0.007
job4,job4,1.0
job4,job5,0.432
job4,job6,0.344
job4,job7,0.022
job4,job8,0.03
job5,job1,0.023
job5,job2,0.029
job5,job3,0.029
job5,job4,0.432
job5,job5,1.0
job5,job6,0.215
job5,job7,0.018
job5,job8,0.014
job6,job1,0.022
job6,job2,0.009
job6,job3,0.016
job6,job4,0.344
job6,job5,0.215
job6,job6,1.0
job6,job7,0.059
job6,job8,0.062
job7,job1,0.098
job7,job2,0.131
job7,job3,0.082
job7,job4,0.022
job7,job5,0.018
job7,job6,0.059
job7,job7,1.0
job7,job8,0.698
job8,job1,0.083
job8,job2,0.062
job8,job3,0.071
job8,job4,0.03
job8,job5,0.014
job8,job6,0.062
job8,job7,0.698
job8,job8,1.0
