doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.242,0.752
job1,job3,0.295,0.915
job1,job4,0.421,1.307
job1,job5,0.427,1.325
job1,job6,0.429,1.33
job1,job7,0.394,1.221
job1,job8,0.394,1.222
job2,job1,0.238,0.752
job2,job2,0.0,0.0
job2,job3,0.279,0.881
job2,job4,0.437,1.38
job2,job5,0.432,1.366
job2,job6,0.435,1.375
job2,job7,0.38,1.201
job2,job8,0.392,1.239
job3,job1,0.285,0.915
job3,job2,0.275,0.881
job3,job3,0.0,0.0
job3,job4,0.432,1.385
job3,job5,0.426,1.368
job3,job6,0.426,1.368
job3,job7,0.383,1.228
job3,job8,0.383,1.228
job4,job1,0.399,1.307
job4,job2,0.421,1.38
job4,job3,0.423,1.385
job4,job4,0.0,0.0
job4,job5,0.293,0.96
job4,job6,0.244,0.8
job4,job7,0.416,1.364
job4,job8,0.408,1.336
job5,job1,0.393,1.325
job5,job2,0.405,1.366
job5,job3,0.406,1.368
job5,job4,0.285,0.96
job5,job5,0.0,0.0
job5,job6,0.319,1.074
job5,job7,0.408,1.375
job5,job8,0.409,1.378
job6,job1,0.409,1.33
job6,job2,0.423,1.375
job6,job3,0.421,1.368
job6,job4,0.246,0.8
job6,job5,0.33,1.074
job6,job6,0.0,0.0
job6,job7,0.398,1.293
job6,job8,0.387,1.258
job7,job1,0.385,1.221
job7,job2,0.379,1.201
job7,job3,0.387,1.228
job7,job4,0.43,1.364
job7,job5,0.434,1.375
job7,job6,0.408,1.293
job7,job7,0.0,0.0
job7,job8,0.137,0.433
job8,job1,0.387,1.222
job8,job2,0.392,1.239
job8,job3,0.389,1.228
job8,job4,0.423,1.336
job8,job5,0.436,1.378
job8,job6,0.398,1.258
job8,job7,0.137,0.433
job8,job8,0.0,0.0
