doc,word,value,value2
job2,website,0.0,0.0
job2,written,0.0,0.0
job2,year,1.251,0.097
job3,ability,0.0,0.0
job3,adobe,0.0,0.0
job3,advanced,0.0,0.0
job3,advertisement,0.0,0.0
job3,analysis,0.0,0.0
job3,analytic,0.0,0.0
job3,analyzing,2.504,0.216
job3,architecture,0.0,0.0
job3,aws,0.0,0.0
job3,bachelor,0.0,0.0
job3,background,1.251,0.108
job3,bioinformatics,0.0,0.0
job3,communicate,0.0,0.0
job3,contact,0.0,0.0
job3,corporate,0.0,0.0
job3,cs5,0.0,0.0
job3,data,2.81,0.242
job3,database,0.0,0.0
job3,datasets,2.504,0.216
job3,deadline,0.0,0.0
job3,degree,0.0,0.0
job3,delivering,0.0,0.0
job3,design,0.0,0.0
job3,designer,0.0,0.0
job3,discipline,0.0,0.0
job3,dreamweaver,0.0,0.0
job3,effective,0.0,0.0
job3,excellent,0.0,0.0
job3,experience,3.0,0.259
job3,experienced,0.0,0.0
job3,field,0.0,0.0
job3,five,0.0,0.0
job3,following,1.811,0.156
job3,four,0.0,0.0
job3,graphic,0.0,0.0
job3,html,0.0,0.0
job3,identity,0.0,0.0
job3,illustrator,0.0,0.0
job3,interactive,0.0,0.0
job3,java,0.0,0.0
job3,job1mail,0.0,0.0
job3,job44mail,0.0,0.0
job3,knowledge,1.811,0.156
job3,language,1.405,0.121
job3,large,2.504,0.216
job3,learning,2.81,0.242
job3,mac,0.0,0.0
job3,machine,2.81,0.242
job3,management,0.0,0.0
job3,managing,2.504,0.216
job3,marketing,0.0,0.0
job3,matlab,1.811,0.156
job3,medium,0.0,0.0
job3,meet,0.0,0.0
job3,method,0.0,0.0
job3,modelling,1.405,0.121
job3,multimedia,0.0,0.0
job3,number,1.811,0.156
job3,one,0.0,0.0
job3,oral,0.0,0.0
job3,packaging,0.0,0.0
job3,photoshop,0.0,0.0
job3,platform,0.0,0.0
job3,please,0.0,0.0
job3,predictive,0.0,0.0
job3,product,0.0,0.0
job3,production,0.0,0.0
job3,proficient,0.0,0.0
job3,programming,1.0,0.086
job3,project,2.099,0.181
job3,proven,0.0,0.0
job3,python,1.405,0.121
job3,r,0.0,0.0
job3,related,0.0,0.0
job3,relevant,0.0,0.0
job3,sas,1.811,0.156
job3,scala,0.0,0.0
job3,science,1.588,0.137
job3,scientific,0.0,0.0
job3,skill,0.0,0.0
job3,sophisticated,0.0,0.0
job3,spark,0.0,0.0
job3,sql,3.622,0.312
job3,statistic,1.811,0.156
job3,statistical,0.0,0.0
job3,strong,1.588,0.137
job3,tableau,0.0,0.0
job3,technique,1.811,0.156
job3,three,1.588,0.137
job3,time,0.0,0.0
job3,tool,2.81,0.242
job3,understanding,0.0,0.0
job3,using,0.0,0.0
job3,variety,2.099,0.181
job3,visualizing,2.504,0.216
job3,web,0.0,0.0
job3,website,0.0,0.0
job3,written,0.0,0.0
job3,year,1.251,0.108
job4,ability,1.405,0.116
job4,adobe,0.0,0.0
job4,advanced,0.0,0.0
job4,advertisement,0.0,0.0
job4,analysis,0.0,0.0
job4,analytic,0.0,0.0
job4,analyzing,0.0,0.0
job4,architecture,0.0,0.0
job4,aws,0.0,0.0
job4,bachelor,2.099,0.174
job4,background,1.251,0.104
job4,bioinformatics,0.0,0.0
job4,communicate,0.0,0.0
job4,contact,2.099,0.174
job4,corporate,2.099,0.174
job4,cs5,0.0,0.0
job4,data,0.0,0.0
job4,database,0.0,0.0
job4,datasets,0.0,0.0
job4,deadline,1.811,0.15
job4,degree,2.099,0.174
job4,delivering,0.0,0.0
job4,design,3.176,0.263
job4,designer,2.099,0.174
job4,discipline,0.0,0.0
job4,dreamweaver,0.0,0.0
job4,effective,1.811,0.15
job4,excellent,0.0,0.0
job4,experience,1.0,0.083
job4,experienced,0.0,0.0
job4,field,4.198,0.348
job4,five,0.0,0.0
job4,following,0.0,0.0
job4,four,0.0,0.0
job4,graphic,3.622,0.3
job4,html,0.0,0.0
job4,identity,2.099,0.174
job4,illustrator,1.811,0.15
job4,interactive,0.0,0.0
job4,java,0.0,0.0
job4,job1mail,0.0,0.0
job4,job44mail,2.504,0.207
job4,knowledge,0.0,0.0
job4,language,0.0,0.0
job4,large,0.0,0.0
job4,learning,0.0,0.0
job4,mac,0.0,0.0
job4,machine,0.0,0.0
job4,management,1.811,0.15
job4,managing,0.0,0.0
job4,marketing,1.811,0.15
job4,matlab,0.0,0.0
job4,medium,0.0,0.0
job4,meet,1.811,0.15
job4,method,0.0,0.0
job4,modelling,0.0,0.0
job4,multimedia,0.0,0.0
job4,number,0.0,0.0
job4,one,0.0,0.0
job4,oral,0.0,0.0
job4,packaging,2.099,0.174
job4,photoshop,1.811,0.15
job4,platform,0.0,0.0
job4,please,2.099,0.174
job4,predictive,0.0,0.0
job4,product,2.099,0.174
job4,production,2.099,0.174
job4,proficient,0.0,0.0
job4,programming,1.0,0.083
job4,project,0.0,0.0
job4,proven,0.0,0.0
job4,python,0.0,0.0
job4,r,0.0,0.0
job4,related,3.622,0.3
job4,relevant,0.0,0.0
job4,sas,0.0,0.0
job4,scala,0.0,0.0
job4,science,0.0,0.0
job4,scientific,0.0,0.0
job4,skill,1.405,0.116
job4,sophisticated,0.0,0.0
job4,spark,0.0,0.0
job4,sql,0.0,0.0
job4,statistic,0.0,0.0
job4,statistical,0.0,0.0
job4,strong,0.0,0.0
job4,tableau,0.0,0.0
job4,technique,0.0,0.0
job4,three,0.0,0.0
