doc,word,value,value2
job2,effective time,0.0,0.0
job2,excellent oral,0.0,0.0
job2,excellent skill,0.0,0.0
job2,experience advanced,0.0,0.0
job2,experience bioinformatics,0.0,0.0
job2,experience data,5.433,0.431
job2,experience delivering,2.099,0.167
job2,experience graphic,0.0,0.0
job2,experience number,1.811,0.144
job2,experience related,0.0,0.0
job2,experience tool,0.0,0.0
job2,experience using,0.0,0.0
job2,experience web,0.0,0.0
job2,experienced mac,0.0,0.0
job2,five year,0.0,0.0
job2,following language,1.811,0.144
job2,four year,2.099,0.167
job2,graphic design,0.0,0.0
job2,graphic designer,0.0,0.0
job2,identity advertisement,0.0,0.0
job2,identity product,0.0,0.0
job2,interactive medium,0.0,0.0
job2,java spark,2.099,0.167
job2,knowledge html,0.0,0.0
job2,knowledge variety,2.099,0.167
job2,language tool,1.811,0.144
job2,large datasets,0.0,0.0
job2,learning predictive,0.0,0.0
job2,learning project,0.0,0.0
job2,learning technique,2.099,0.167
job2,mac platform,0.0,0.0
job2,machine learning,1.405,0.112
job2,management skill,0.0,0.0
job2,managing analyzing,0.0,0.0
job2,marketing product,0.0,0.0
job2,marketing production,0.0,0.0
job2,marketing web,0.0,0.0
job2,matlab sas,1.811,0.144
job2,meet deadline,0.0,0.0
job2,method machine,0.0,0.0
job2,modelling method,2.099,0.167
job2,multimedia design,0.0,0.0
job2,number following,1.811,0.144
job2,one three,0.0,0.0
job2,oral written,0.0,0.0
job2,packaging advertisement,0.0,0.0
job2,photoshop dreamweaver,0.0,0.0
job2,photoshop illustrator,0.0,0.0
job2,platform excellent,0.0,0.0
job2,please contact,0.0,0.0
job2,predictive modelling,0.0,0.0
job2,product packaging,0.0,0.0
job2,production website,0.0,0.0
job2,proficient graphic,0.0,0.0
job2,proficient python,0.0,0.0
job2,programming background,1.251,0.099
job2,programming language,0.0,0.0
job2,proven experience,2.099,0.167
job2,python matlab,1.811,0.144
job2,python r,0.0,0.0
job2,r programming,0.0,0.0
job2,related field,0.0,0.0
job2,related scientific,0.0,0.0
job2,relevant programming,0.0,0.0
job2,sas java,2.099,0.167
job2,sas sql,0.0,0.0
job2,scala aws,2.504,0.199
job2,science machine,0.0,0.0
job2,scientific discipline,0.0,0.0
job2,skill ability,0.0,0.0
job2,skill adobe,0.0,0.0
job2,skill bioinformatics,0.0,0.0
job2,sophisticated statistical,0.0,0.0
job2,spark scala,2.099,0.167
job2,sql python,1.811,0.144
job2,statistic programming,1.811,0.144
job2,statistical method,0.0,0.0
job2,statistical technique,0.0,0.0
job2,strong knowledge,0.0,0.0
job2,strong statistic,1.811,0.144
job2,three year,0.0,0.0
job2,time management,0.0,0.0
job2,tool managing,0.0,0.0
job2,tool relevant,0.0,0.0
job2,tool sql,1.811,0.144
job2,understanding marketing,0.0,0.0
job2,using sophisticated,0.0,0.0
job2,variety machine,2.099,0.167
job2,visualizing large,0.0,0.0
job2,web design,0.0,0.0
job2,web marketing,0.0,0.0
job2,website design,0.0,0.0
job2,written skill,0.0,0.0
job2,year experience,1.251,0.099
job3,ability communicate,0.0,0.0
job3,ability meet,0.0,0.0
job3,adobe cs5,0.0,0.0
job3,advanced statistical,0.0,0.0
job3,advertisement multimedia,0.0,0.0
job3,analysis modelling,0.0,0.0
job3,analyzing visualizing,2.504,0.218
job3,aws tableau,0.0,0.0
job3,bachelor degree,0.0,0.0
job3,background data,2.504,0.218
job3,background photoshop,0.0,0.0
job3,background proven,0.0,0.0
job3,bioinformatics data,0.0,0.0
job3,bioinformatics database,0.0,0.0
job3,bioinformatics tool,0.0,0.0
job3,contact job1mail,0.0,0.0
job3,contact job44mail,0.0,0.0
job3,corporate identity,0.0,0.0
job3,cs5 programming,0.0,0.0
job3,data analysis,0.0,0.0
job3,data analytic,0.0,0.0
