doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.814
job1,job3,0.729
job1,job4,0.486
job1,job5,0.449
job1,job6,0.407
job1,job7,0.365
job1,job8,0.354
job2,job1,0.814
job2,job2,1.0
job2,job3,0.896
job2,job4,0.597
job2,job5,0.551
job2,job6,0.5
job2,job7,0.448
job2,job8,0.434
job3,job1,0.729
job3,job2,0.896
job3,job3,1.0
job3,job4,0.667
job3,job5,0.615
job3,job6,0.558
job3,job7,0.5
job3,job8,0.485
job4,job1,0.486
job4,job2,0.597
job4,job3,0.667
job4,job4,1.0
job4,job5,0.923
job4,job6,0.837
job4,job7,0.75
job4,job8,0.727
job5,job1,0.449
job5,job2,0.551
job5,job3,0.615
job5,job4,0.923
job5,job5,1.0
job5,job6,0.907
job5,job7,0.812
job5,job8,0.788
job6,job1,0.407
job6,job2,0.5
job6,job3,0.558
job6,job4,0.837
job6,job5,0.907
job6,job6,1.0
job6,job7,0.896
job6,job8,0.869
job7,job1,0.365
job7,job2,0.448
job7,job3,0.5
job7,job4,0.75
job7,job5,0.812
job7,job6,0.896
job7,job7,1.0
job7,job8,0.97
job8,job1,0.354
job8,job2,0.434
job8,job3,0.485
job8,job4,0.727
job8,job5,0.788
job8,job6,0.869
job8,job7,0.97
job8,job8,1.0
