doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.239,0.701
job1,job3,0.282,0.826
job1,job4,0.436,1.278
job1,job5,0.444,1.302
job1,job6,0.437,1.283
job1,job7,0.379,1.111
job1,job8,0.377,1.107
job2,job1,0.237,0.701
job2,job2,0.0,0.0
job2,job3,0.261,0.773
job2,job4,0.455,1.346
job2,job5,0.438,1.298
job2,job6,0.448,1.325
job2,job7,0.363,1.074
job2,job8,0.381,1.127
job3,job1,0.277,0.826
job3,job2,0.259,0.773
job3,job3,0.0,0.0
job3,job4,0.451,1.343
job3,job5,0.433,1.291
job3,job6,0.435,1.296
job3,job7,0.372,1.109
job3,job8,0.37,1.103
job4,job1,0.407,1.278
job4,job2,0.429,1.346
job4,job3,0.428,1.343
job4,job4,0.0,0.0
job4,job5,0.233,0.732
job4,job6,0.26,0.816
job4,job7,0.419,1.315
job4,job8,0.413,1.297
job5,job1,0.413,1.302
job5,job2,0.412,1.298
job5,job3,0.41,1.291
job5,job4,0.232,0.732
job5,job5,0.0,0.0
job5,job6,0.294,0.926
job5,job7,0.418,1.315
job5,job8,0.42,1.322
job6,job1,0.414,1.283
job6,job2,0.428,1.325
job6,job3,0.418,1.296
job6,job4,0.263,0.816
job6,job5,0.299,0.926
job6,job6,0.0,0.0
job6,job7,0.401,1.241
job6,job8,0.388,1.203
job7,job1,0.374,1.111
job7,job2,0.362,1.074
job7,job3,0.374,1.109
job7,job4,0.443,1.315
job7,job5,0.443,1.315
job7,job6,0.418,1.241
job7,job7,0.0,0.0
job7,job8,0.149,0.443
job8,job1,0.373,1.107
job8,job2,0.38,1.127
job8,job3,0.372,1.103
job8,job4,0.438,1.297
job8,job5,0.446,1.322
job8,job6,0.406,1.203
job8,job7,0.149,0.443
job8,job8,0.0,0.0
