doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.236,0.778
job1,job3,0.3,0.992
job1,job4,0.413,1.364
job1,job5,0.422,1.393
job1,job6,0.408,1.348
job1,job7,0.415,1.369
job1,job8,0.408,1.348
job2,job1,0.237,0.778
job2,job2,0.0,0.0
job2,job3,0.282,0.926
job2,job4,0.423,1.388
job2,job5,0.424,1.393
job2,job6,0.418,1.371
job2,job7,0.402,1.32
job2,job8,0.411,1.348
job3,job1,0.298,0.992
job3,job2,0.278,0.926
job3,job3,0.0,0.0
job3,job4,0.417,1.389
job3,job5,0.419,1.394
job3,job6,0.404,1.346
job3,job7,0.403,1.343
job3,job8,0.397,1.323
job4,job1,0.407,1.364
job4,job2,0.414,1.388
job4,job3,0.414,1.389
job4,job4,0.0,0.0
job4,job5,0.259,0.869
job4,job6,0.285,0.954
job4,job7,0.414,1.388
job4,job8,0.414,1.388
job5,job1,0.407,1.393
job5,job2,0.407,1.393
job5,job3,0.407,1.394
job5,job4,0.254,0.869
job5,job5,0.0,0.0
job5,job6,0.326,1.115
job5,job7,0.407,1.393
job5,job8,0.407,1.393
job6,job1,0.402,1.348
job6,job2,0.409,1.371
job6,job3,0.402,1.346
job6,job4,0.285,0.954
job6,job5,0.333,1.115
job6,job6,0.0,0.0
job6,job7,0.401,1.345
job6,job8,0.395,1.325
job7,job1,0.406,1.369
job7,job2,0.392,1.32
job7,job3,0.399,1.343
job7,job4,0.412,1.388
job7,job5,0.413,1.393
job7,job6,0.399,1.345
job7,job7,0.0,0.0
job7,job8,0.15,0.505
job8,job1,0.402,1.348
job8,job2,0.402,1.348
job8,job3,0.394,1.323
job8,job4,0.414,1.388
job8,job5,0.415,1.393
job8,job6,0.395,1.325
job8,job7,0.15,0.505
job8,job8,0.0,0.0
