doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.64
job1,job3,0.389
job1,job4,0.044
job1,job5,0.01
job1,job6,0.047
job1,job7,0.038
job1,job8,0.052
job2,job1,0.64
job2,job2,1.0
job2,job3,0.451
job2,job4,0.011
job2,job5,0.01
job2,job6,0.02
job2,job7,0.076
job2,job8,0.04
job3,job1,0.389
job3,job2,0.451
job3,job3,1.0
job3,job4,0.012
job3,job5,0.011
job3,job6,0.04
job3,job7,0.064
job3,job8,0.077
job4,job1,0.044
job4,job2,0.011
job4,job3,0.012
job4,job4,1.0
job4,job5,0.463
job4,job6,0.507
job4,job7,0.016
job4,job8,0.015
job5,job1,0.01
job5,job2,0.01
job5,job3,0.011
job5,job4,0.463
job5,job5,1.0
job5,job6,0.244
job5,job7,0.014
job5,job8,0.013
job6,job1,0.047
job6,job2,0.02
job6,job3,0.04
job6,job4,0.507
job6,job5,0.244
job6,job6,1.0
job6,job7,0.051
job6,job8,0.063
job7,job1,0.038
job7,job2,0.076
job7,job3,0.064
job7,job4,0.016
job7,job5,0.014
job7,job6,0.051
job7,job7,1.0
job7,job8,0.832
job8,job1,0.052
job8,job2,0.04
job8,job3,0.077
job8,job4,0.015
job8,job5,0.013
job8,job6,0.063
job8,job7,0.832
job8,job8,1.0
